station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,std_percentage,upper_vp_avg,upper_vp_std,vp%,upper_vs,upper_vs_std,vs%, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
MARN,Rae,71.326279,-79.373581,4,BAD,5,40118.11574,2605.897186,6.495562261,6364.920577,192.1960998,3.019615053,3741.958078,213.5715815,5.707481941,0.13,41540.49011,2967.86275,6378.248971,3858.257093,0,0,0,0,0,0.13,14156.35934,2813.647353,6446.305421,3822.752539,27546.9443,2884.99751,6603.448386,3897.520177,0,0,0,0,0,0,0,0.12,14707.89829,2476.281227,5922.106615,3558.006572,13855.42394,2830.053065,6002.621681,3485.897233,0,0,0,0,0,8547.231248,3268.080108,6852.297861,3403.407257,0,0,0,0,0,0,0
MCF,Northern,82.648331,-75.041672,3,BAD,1,42119.57006,7379.531728,17.5204346,6303.065135,120.7477751,1.915699307,3712.052443,267.0771781,7.194865434,0.14,44582.50488,2935.798849,6282.752535,3783.977698,0,0,0,0,0,0.12,22340.05007,2634.169163,6247.280766,3867.933447,25612.60866,2742.070028,6147.081266,3994.99842,0,0,0,0,0,0,0,0.12,7005.417534,2075.740385,6338.417218,3124.374891,12872.22839,2565.548801,6239.423952,3807.217219,0,0,0,0,0,13945.90065,3315.862021,6658.410707,3202.309939,0,0,0,0,0,0,0
MCMN,Hearne,63.3043,-92.2977,3,GOOD,6,37627.62413,1231.630084,3.273207152,6198.822047,84.01750588,1.355378574,3724.993655,135.9450784,3.649538523,0.13,38523.16651,2999.437157,6275.984682,3822.551282,33.2512138,185.3816162,0.684682105,5.449129299,150.2217561,0.12,20121.82772,2491.741672,6378.101061,3850.034082,18014.79874,2932.899514,6024.706127,3707.528794,7.121304767,221.2361768,32.77906626,217.9855561,0.282714854,5.575008184,153.0051201,0.12,8022.727944,2346.373012,5971.957619,3483.818505,13981.66059,2809.780833,6046.664057,3819.220814,2.909526453,165.773565,25.32565215,287.1279557,0.535918758,14218.6909,3269.88206,6248.424877,3372.825877,4.154292509,295.6058842,40.09377249,77.81837704,1.051006579,5.039281093,154.4560536
NOTN,Hearne,63.293659,-78.135452,4,BAD,5,36415.21618,1593.462905,4.375816133,6701.377821,210.1223749,3.135510047,3871.879458,143.8941439,3.716390076,0.13,37636.86253,2685.660533,6692.813716,4008.04392,0,0,0,0,0,0.14,8673.436412,2865.446173,6286.417499,3896.192849,28322.51406,2906.016252,7108.346758,3883.216957,0,0,0,0,0,0,0,0.14,8023.43048,2341.085532,5964.020774,3557.695438,13439.13491,2834.605363,6200.292173,3877.26235,0,0,0,0,0,13150.27016,3089.037502,7121.90952,3661.825618,0,0,0,0,0,0,0
NUNN,Rae,65.2146,-91.0784,2,BAD,3,35004.49501,905.9553214,2.588111388,6451.30452,156.4953895,2.425794489,3670.093693,143.2390221,3.902870991,0.16,34672.46498,2688.266033,6338.234653,3661.199274,0,0,0,0,0,0.15,23227.33756,2644.61321,7079.165433,3799.16532,12802.28368,2850.428705,5814.831895,3850.969327,0,0,0,0,0,0,0,0.14,9095.523407,2142.178636,5884.795797,3554.346261,12009.34104,2527.462594,6100.488517,3876.327398,0,0,0,0,0,13206.53435,3072.34074,6990.204746,3202.220969,0,0,0,0,0,0,0
POIN,Rae,72.7012,-77.962,3,BAD,4,31545.21856,1475.632181,4.677831534,6782.681916,88.89919194,1.310679065,3703.308762,188.7401779,5.096528269,0.16,33019.49085,2955.73507,6831.468433,3889.097179,0,0,0,0,0,0.14,14838.53308,2849.059792,6364.248988,3698.37157,16709.40151,2936.897676,7255.886995,3718.589293,0,0,0,0,0,0,0,0.14,6835.948093,2307.84711,5858.366546,3569.870108,9200.079334,2786.444676,7239.944699,3779.851337,0,0,0,0,0,14032.20281,3402.827245,6713.298291,3307.656328,0,0,0,0,0,0,0
QILN,Rae,66.6532,-86.3709,4,GOOD,11,36386.60057,1558.38891,4.282864807,6566.028216,219.9708111,3.350135027,3670.759574,112.9047729,3.075787738,0.16,36646.37528,2968.999561,6512.940516,3677.489074,41.1512659,197.7353117,1.800467909,0.458378968,69.65126562,0.15,31522.72244,2845.28948,7002.197581,3717.814491,6276.055563,2891.222793,5830.705312,4093.236829,6.098407307,297.2027852,22.13424877,29.01637007,4.95657987,3.732584626,335.2526819,0.14,9361.729061,2243.754191,5882.71286,3591.145604,11503.55485,2723.799292,6749.443311,3850.609907,2.209787893,84.89011867,0.773212517,26.61882856,7.539531216,13849.36451,3383.049031,6402.915304,3284.126358,3.573692557,171.2313601,29.62158724,169.8533676,1.674886662,1.300489874,337.2653398
RES,Rae,74.6892,-94.8962,4,BAD,7,40944.8713,2582.799932,6.307993773,6704.832576,292.5635385,4.363472692,3732.796344,252.4193499,6.762205239,0.18,43597.49346,2974.225862,6956.71201,3942.007582,0,0,0,0,0,0.17,29802.80182,2316.90438,6603.050312,3772.665367,10996.24655,2899.920424,7236.789039,3888.710248,0,0,0,0,0,0,0,0.15,13479.77812,2221.706638,5983.497111,3218.520843,14314.21076,2819.05688,6774.264092,3336.025207,0,0,0,0,0,10644.0832,3231.96564,6366.114998,3905.230699,0,0,0,0,0,0,0
SAKN,THO,56.5359,-79.2324,4,GOOD,12,40220.66819,8330.862245,20.71288872,6986.705329,402.0979941,5.755187534,3897.105255,168.3896914,4.320891543,0.18,42045.06448,2989.123873,7228.619251,4090.293638,42.74273061,186.9879417,3.188050384,1.078748061,25.40230342,0.17,30955.18864,2960.165593,7065.921927,3834.114083,16532.94823,2931.341832,7476.761603,3792.378687,5.111807868,55.01752373,34.1108262,27.50698648,4.220598349,4.550845436,21.85028119,0.12,14223.14973,2302.634901,6342.297862,3555.175594,5562.790578,2727.00604,6137.634542,3727.801083,5.059124548,306.5406618,21.4405169,206.201792,6.060201115,11342.86291,3367.882567,6937.320846,4091.460322,1.432263445,144.0338994,32.12593039,258.8762616,1.542224577,4.37817788,276.8551542
SEDN,Hearne,63.2502,-91.2081,4,BAD,1,37953.25598,1439.882211,3.793830527,6737.0255,138.2344139,2.051861224,3663.930553,144.1589133,3.934542732,0.12,36314.31421,2931.881904,6828.690097,3817.301463,0,0,0,0,0,0.11,29909.26914,2370.723607,6360.965367,3590.698461,8621.252864,2961.503669,7331.060547,3825.694644,0,0,0,0,0,0,0,0.1,11175.86479,2102.15606,6057.182589,3294.189243,13720.19342,2895.675583,7095.666492,3325.709801,0,0,0,0,0,14118.87351,2922.965695,7112.714061,3918.525257,0,0,0,0,0,0,0
