rho,vp,vs,dip,strike,plunge,trend,ani,depth
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,37000.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,37500.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,38000.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,38500.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,39000.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,39500.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,40000.0
2212.0,6633.0,3842.0,0.0,0.0,0.0,0.0,0.0,40286.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,40500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,41000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,41500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,42000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,42500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,43000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,43500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,44000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,44500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,45000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,45500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,46000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,46500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,47000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,47500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,48000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,48500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,49000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,49500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,50000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,50500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,51000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,51500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,52000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,52500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,53000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,53500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,54000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,54500.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,55000.0
2419.0,8499.0,4701.0,0.0,0.0,0.0,0.0,0.0,55500.0
