# @VGMT1.0 @GLINESTRING
# @R-127.06366881/-66.1724117155/37.9871248685/74.6112128526              
# @Je4326
# @Jp"+proj=longlat +datum=WGS84 +no_defs "
# @Jw"GEOGCS[\"GCS_WGS_1984\",DATUM[\"WGS_1984\",SPHEROID[\"WGS_84\",6378137,298.257223563]],PRIMEM[\"Greenwich\",0],UNIT[\"Degree\",0.017453292519943295],AUTHORITY[\"EPSG\",\"4326\"]]"
# @Nid|FID|Tect_prov
# @Tdouble|double|string
# FEATURE_DATA
>
# @D1|0|0
-93.2507842185315 42.712577982483
-93.0279242362896 42.7883100147244
-93.0391970455708 43.0337093570482
-93.043688049645 43.3006056336088
-92.9578541381646 43.5661012691681
-92.7490389175126 43.5962584565805
-92.5487171276516 43.6457463638769
-92.6959017679134 43.7088329532245
-92.7798065018119 43.7859271267487
-92.9297471818747 43.953601145484
-92.9322330711124 44.0984577409
-92.9744655642136 44.4346739710272
-92.9866138963 44.6268963006037
-92.8588332123509 44.8429252008834
-92.5570940473992 45.2384188015564
-92.314155211555 45.5883457876254
-92.1396992278738 45.7845617345784
-92.0071295874672 45.9192769498703
-91.5608430294983 46.0876297904407
-91.1081108434602 46.2864611672621
-90.6218179800828 46.3711518592512
-90.3156579007022 46.4335802292037
-90.0808099949114 46.5479465261184
-89.6011879164405 46.5681265709856
-89.3963961549756 46.6194911826138
-89.2380991430591 46.7607376379091
-89.0070859833007 46.9809010269295
-88.6388327719172 47.2081201564825
-88.0001640873928 47.3666676975807
-87.7225004291899 47.471621094872
-87.5547714232997 47.4975514004904
-87.3253921893294 47.3365872855635
-87.2361477103751 47.1287033999791
-87.0076710511384 46.8041218726393
-86.7760554790466 46.7243726242828
-86.6801404751259 46.6289268058976
-86.494768019876 46.3768953435773
-86.3839598932689 46.291015666811
-86.1283337898666 46.3314803307358
-85.8603185528929 46.3402932985479
-85.8591889108448 46.0545061443738
-85.9060026710228 45.7302753824572
-85.8826048532902 45.3622759319359
-85.7324819805172 45.2531411314585
-85.6995130874939 44.9862147313016
-85.5113510876016 44.526890926113
-85.5450180909228 44.0059452374245
-85.5669292618117 43.5956113856457
-85.4262755211697 43.2355380343648
-85.0560167936464 43.0778270126104
-84.9016684907853 43.0467309475426
-84.7077965169939 42.9815870986229
-84.4326566311768 42.8683975318708
-84.4383284004449 42.6484897769764
-84.4505861853207 42.5127324583005
-84.2832936613929 42.468529931787
-84.2073964081608 42.5153086492161
-84.1927788444716 42.6720163742145
-84.1097131132028 42.7917348047202
-84.0801957432598 42.9466839749717
-84.0530852567633 43.0699325409155
-84.2890339253164 43.1604565820169
-84.4207092522998 43.2843891902224
-84.6573327102244 43.3629581280521
-84.6836786428893 43.5412238257454
-84.9762586880925 43.6430772081235
-84.9509607434549 44.0538776862963
-84.9555943008826 44.4447050507642
-84.9581280804348 44.8341579641874
-84.9407086303487 45.1299498230965
-84.9831609166169 45.4084538739345
-84.9544750623279 45.6625808771445
-84.9504077743172 46.0818886879418
-84.9450558867304 45.8768553044768
-84.9315836126026 45.9887677194795
-84.9277727708133 46.3982236756828
-84.8575398582848 46.7230178626806
-84.8078978806346 46.8748006556196
-84.7243656358631 47.0459142587369
-84.7195026448957 47.313758620435
-84.7653243960276 47.6576204860593
-84.7625523688188 47.6782058481613
-84.9280091674818 47.8213460145665
-85.135275353218 47.8929220814466
-85.355587501263 47.8610074116927
-85.6387681231459 47.8107393417031
-85.7739808819972 47.8370211905057
-86.0967573741078 47.9741600094142
-86.3949643550419 48.2139280370907
-86.7782473822349 48.404100843057
-87.1806612940893 48.5839791842225
-87.4482524569877 48.9377640850678
-87.8369343712237 48.9696751959888
-88.1522446204127 48.9254558952046
-88.4762332391237 48.692664744938
-88.8533636829344 48.5751299170393
-89.0944647032788 48.3203578436642
-89.4969441579515 48.2239012483962
-89.7604259827915 48.1038722243894
-89.9297867756815 48.0545821301548
-90.1898885342584 48.0679622672158
-90.6346123594533 48.1032633740607
-91.0512415776236 48.1073934052674
-91.5430306375956 47.9754888392902
-91.9861462725003 47.8106260464568
-92.1810974864191 47.5841626204072
-92.3544359524316 47.3046041782357
-92.3763354197016 47.0676717346643
-92.4437314655298 46.7902057043327
-92.5208736864395 46.5049051237059
-92.4556216272967 46.2071765190927
-92.8292751457343 45.8950643484088
-93.1643897520396 45.4509472491073
-93.3318878562088 45.285033241657
-93.6458029162109 45.1975884299802
-93.7032645296858 44.8708696315297
-93.7037649169701 44.5559520836895
-93.7082665617502 44.3325063900939
-93.6439453974273 44.1512232262887
-93.5433338687147 44.1127330918079
-93.1882038397629 44.0585657141203
-93.059957897167 44.0201450112873
-93.1095304694857 43.8063074947485
-93.3971269262318 43.5981873422552
-93.5246530571881 43.2602243832954
-93.6303284110681 43.1052579106207
-93.9665020026429 42.8218841916045
-94.3805084243644 42.4622214696173
-94.5681624119199 42.3331434930713
-94.5799668201543 42.2917200207584
-94.8999203599079 42.0541170608661
-95.3149527337707 41.789022799764
-95.6200231046028 41.5574735433061
-95.9186168729063 41.4487079226671
-96.2953882900859 41.4572452915022
>
# @D0|2|MCR
-86.4325516673244 41.5160858567877
-86.2351741507881 41.4599306290245
-86.0595842000679 41.4514510201307
-85.8605713474055 41.2821769742885
-85.7326094520861 41.0320596548158
-85.5287042751561 40.946537882698
-85.3951737081097 40.7802307342497
-85.1046791446553 40.5863255270704
-85.0045059832076 40.3558400637199
-84.5650800338781 40.0954822211306
-84.3018287890649 39.9287226829458
-84.0665952880945 39.8475342461387
-84.048641448218 40.0060782861696
-84.0056924769203 40.2751857740243
-83.9426519295467 40.6083000682912
-84.1553247243681 40.8002564353033
-84.4749541529215 40.9328757147068
-84.6518730138589 41.0186051248326
-84.7967222945069 41.2988153238503
-85.1224449372833 41.4112817386554
-85.3493671063531 41.5270392613127
-85.7282235669421 41.7912824766075
-86.0561244257284 41.9584408591139
-86.4732550011712 41.6495045659417
-86.4325516673244 41.5160858567877
