station,Zone,lat,lon,SELECTED_MODEL,DISTRIB, SIZE,moho_avg,moho_std,depth%,Selected_Vp,Selected_Vs,SelectedVpVs,Anis,Dip,vp_avg,vp_std,vp%,vs_avg,vs_std,vs%,vp/vs, ERR2L, DEP2L1, DEN2L1, VP2L1, VS2L1, PLNG2L1, TRND2L1, ANIS2L1, DIP2L2, STRK2L2,  ERR3L, DEP3L1, DEN3L1, VP3L1, VS3L1, DEP3L2, DEN3L2, VP3L2, VS3L2, DIP3L2, STRK3L2, PLNG3L2, TRND3L2, ANIS3L2, DIP3L3, STRK3L3, ERR4L, DEP4L1, DEN4L1, VP4L1, VS4L1, DEP4L2, DEN4L2, VP4L2, VS4L2, DIP4L2, STRK4L2, PLNG4L2, TRND4L2, ANIS4L2, DEP4L3, DEN4L3, VP4L3, VS4L3, DIP4L3, STRK4L3, PLNG4L3, TRND4L3, ANIS4L3, DIP4L4, STRK4L4
SAKN,THO,56.536,-79.232,4,GOOD,12,40221,8330.9,20.71,6507,3766,1.73,3,4.6,6987,402.1,5.76,3897,168.4,4.32,1.79,0.18,42045.06,2989.12,7228.62,4090.29,42.74,186.99,3.19,1.08,25.4,0.17,30955.19,2960.17,7065.92,3834.11,16532.95,2931.34,7476.76,3792.38,5.11,55.02,34.11,27.51,4.22,4.55,21.85,0.12,14223.15,2302.63,6342.3,3555.18,5562.79,2727.01,6137.63,3727.8,5.06,306.54,21.44,206.2,6.06,11342.86,3367.88,6937.32,4091.46,1.43,144.03,32.13,258.88,1.54,4.38,276.86
SEDN,Hearne,63.25,-91.208,4,BAD,4,38221,4134.6,10.82,6441,3367,1.91,0,0,6681,230.1,3.44,3748,330.5,8.82,1.78,0.17,42222.68,2817.47,6922.04,4026.45,0,0,0,0,0,0.11,13255.82,2742.64,6411.42,3797.57,25220.1,2944.21,6784.2,3854.18,0,0,0,0,0,0,0,0.16,11769.78,2064.48,5951.64,3508.87,11614.62,2764.78,6719.83,3069.24,0,0,0,0,0,10580.79,3022.8,6752.33,3586.39,0,0,0,0,0,0,0
SHMN,Hearne,64.577,-84.115,2,BAD,8,36163,3014.3,8.34,6719,3998,1.68,0,0,6590,360.5,5.47,3730,276.4,7.41,1.77,0.16,39089.91,2663.38,6718.69,3998,0,0,0,0,0,0.16,26389.42,2726.21,5982.4,3764.31,9941.61,2874.3,6715.02,3698.53,0,0,0,0,0,0,0,0.16,10941,1925.62,6143.76,3587.96,12736.35,2812.45,7077.12,3289.82,0,0,0,0,0,9390.89,2864.44,7430.23,3492.48,0,0,0,0,0,0,0
SHWN,Hearne,63.775,-85.089,4,GOOD,7,36773,2504.7,6.81,6336,3358,1.89,5.1,5.7,6454,152.8,2.37,3693,300.8,8.14,1.75,0.17,38779.45,2659.16,6627.81,3951.38,20.25,96.28,0.67,2.52,92.95,0.16,10314.03,2676.33,6370.36,3886.56,27259.79,2976.85,6330.94,3717.18,6.67,146.83,30.77,75.97,2.71,4.73,65.5,0.14,9353.84,2131.55,5964.25,3544.92,14954.4,2798.89,6021.89,3246.08,4.29,158.38,18.66,50.03,6.97,9657.71,3223.89,7377.98,3366.5,5.54,307.97,25.12,85.7,2.14,7.96,55.53
SMLN,Rae,68.594,-91.936,2,GOOD,5,38617,4775.5,12.37,7199,3926,1.83,7.3,2.6,6826,326.4,4.78,3755,180.6,4.81,1.82,0.13,41638.4,2986.05,7199.22,3926.3,40.88,139.41,7.3,2.58,338.33,0.14,18347.88,2656.62,6120.15,3877.18,22752.54,2984.23,7134.3,3689.52,4.43,202.2,17.56,227.11,0.44,1.13,254.01,0.13,14523.73,2452.56,6026.9,3564.18,10887.55,2962.24,7154.98,3332.85,2.82,204.13,0.49,38.96,1.47,7699.8,2964.76,6878.42,3900.83,2,358.56,15.85,171.74,0.8,1.4,267.58
SRLN,Rae,68.551,-83.324,3,GOOD,10,38142,2762.7,7.24,6944,3917,1.77,0.2,2.9,6412,477.8,7.45,3829,235.5,6.15,1.67,0.14,40630.52,2904.91,6063.93,4007.04,11.05,211.12,5.26,3.25,56.41,0.12,17140.08,2776.22,6624.95,3841.31,21487.45,2714.83,7221.18,3978.89,7.22,4.29,25.7,228.87,0.22,2.89,196.13,0.12,7553.09,2072.79,5998.98,3520.41,13376.19,2936.03,6327.11,3967.2,4.3,246.19,5.46,221.03,7.47,14240.04,3243.35,6224.36,3203.12,6.01,167.86,11.21,165.84,2.81,2.54,184.37
STLN,Rae,67.312,-92.985,4,BAD,2,38804,2145.1,5.53,6491,3604,1.8,0,0,6576,65.2,0.99,3778,144.6,3.83,1.74,0.15,39701.97,2807.87,6636.3,3866.42,0,0,0,0,0,0.16,11293.61,1860.59,6503.25,3834.82,29060.21,2808.46,6615.3,3866.07,0,0,0,0,0,0,0,0.14,10820.37,2421.01,6066.08,3408.53,13911.67,2721.26,6556.29,3578.97,0,0,0,0,0,11623.63,2996.01,6857.52,3839.48,0,0,0,0,0,0,0
TQF,Northern,81.413,-76.845,2,BAD,4,33002,1121.3,3.4,7439,4053,1.84,0,0,6736,658.7,9.78,3800,288.7,7.6,1.77,0.21,32536.04,2932.93,7438.75,4053.36,0,0,0,0,0,0.22,26665.3,2326.5,6183.25,3843.85,5522.98,2826.7,5887.49,3948.88,0,0,0,0,0,0,0,0.21,13319.08,2469.02,5976.33,3354.22,12332.91,2594.8,7438.56,3352.61,0,0,0,0,0,8628.75,3109.73,6515.09,3879.57,0,0,0,0,0,0,0
WAGN,Rae,65.879,-89.445,2,BAD,5,33790,898.2,2.66,6799,3864,1.76,0,0,6563,209,3.18,3766,133.6,3.55,1.74,0.16,34313.74,2907.74,6798.71,3863.52,0,0,0,0,0,0.17,20956.1,2608.59,6005.15,3775.76,13347.99,2701.27,7256.17,3891.3,0,0,0,0,0,0,0,0.16,7399.31,2329.87,6310.07,3506.41,12807.13,2752.19,6280.4,3795.83,0,0,0,0,0,12546.77,3293.6,6573.44,3491.12,0,0,0,0,0,0,0
YRTN,Hearne,62.81,-92.11,2,BAD,4,36309,2891.5,7.96,6661,3932,1.69,0,0,6639,390.7,5.88,3739,205.5,5.5,1.78,0.15,39169.12,2963.24,6660.69,3931.86,0,0,0,0,0,0.16,5120.62,2562.49,7328.64,3813.62,31251.12,2755.09,6058.5,3755.08,0,0,0,0,0,0,0,0.15,9913,2061.37,5997.53,3447.04,14263.09,2593.82,7423.8,3419.78,0,0,0,0,0,9211.11,2866.22,7486.87,3764.14,0,0,0,0,0,0,0
